product_name,product_type,ingredients
Re'equil Ceramide & Hyaluronic Acid Moisturizer,moisturizer,"Ceramides, Hyaluronic Acid"
Re'equil Oil Control Face Wash,cleanser,"Glycolic Acid, Zinc PCA"
Re'equil Pitstop Gel,treatment,"Niacinamide, Salicylic Acid"
Fixderma Shadow SPF 50+,sunscreen,"Zinc Oxide, Octocrylene, Avobenzone"
Fixderma Moisturizing Lotion,moisturizer,"Glycerin, Vitamin E"
Fixderma Face Wash for Oily Skin,cleanser,"Glycolic Acid, Tea Tree"
Fixderma Gel for Acne,gel,"Salicylic Acid, Tea Tree Oil"
Dr. Sheth’s Centella & Niacinamide Serum,serum,"Centella Asiatica, Niacinamide"
Dr. Sheth’s Amla Vitamin C Serum,serum,"Amla Extract, Vitamin C"
Dr. Sheth’s Rosehip & Retinol Night Oil,oil,"Rosehip Oil, Retinol"
Dr. Sheth’s Cica & Ceramide Moisturizer,moisturizer,"Ceramides, Centella Asiatica"
The Derma Co 10% Niacinamide Serum,serum,"Niacinamide, Zinc PCA"
The Derma Co 2% Salicylic Acid Serum,serum,"Salicylic Acid, Witch Hazel"
The Derma Co 1% Hyaluronic Acid Serum,serum,"Hyaluronic Acid, Pentylene Glycol"
The Derma Co 10% Vitamin C Serum,serum,"Vitamin C, Ferulic Acid"
The Derma Co Ceramide Moisturizer,moisturizer,"Ceramides, Squalane"
The Derma Co 30% AHA + 2% BHA Peel,exfoliant,"Glycolic Acid, Lactic Acid, Salicylic Acid"
Cetaphil Gentle Skin Cleanser,cleanser,"Glycerin, Panthenol, Niacinamide"
Cetaphil Moisturising Lotion,moisturizer,"Glycerin, Vitamin E"
Cetaphil Pro Oil Control Foam Wash,cleanser,"Zinc Coceth Sulfate, Glycerin"
Cetaphil Brightening Night Cream,night cream,"Niacinamide, Sea Daffodil"
CeraVe Hydrating Cleanser,cleanser,"Ceramides, Hyaluronic Acid"
CeraVe Foaming Cleanser,cleanser,"Ceramides, Niacinamide"
CeraVe Moisturising Lotion,moisturizer,"Ceramides, Hyaluronic Acid"
BioDerma Atoderm Intensive Balm,moisturizer,"Vitamin B3, Lipids"
BioDerma Sensibio Gel Moussant,cleanser,"Glycerin, Coco Glucoside"
BioDerma Photoderm Max SPF 50+,sunscreen,"Tinosorb S, Vitamin E"
La Roche-Posay Effaclar Gel Cleanser,cleanser,"Salicylic Acid, LHA"
La Roche-Posay Cicaplast Baume B5,moisturizer,"Panthenol, Madecassoside"
La Roche-Posay Anthelios SPF 50+,sunscreen,"Mexoryl SX, Mexoryl XL"
La Roche-Posay Hyalu B5 Serum,serum,"Hyaluronic Acid, Vitamin B5"
Neutrogena Hydro Boost Water Gel,moisturizer,"Hyaluronic Acid, Glycerin"
Neutrogena UltraSheer SPF 50+,sunscreen,"Avobenzone, Homosalate"
Neutrogena Oil-Free Acne Wash,cleanser,"Salicylic Acid"
WOW Skin Science Vitamin C Serum,serum,"Vitamin C, Ferulic Acid"
WOW Skin Science Sunscreen SPF 55,sunscreen,"Titanium Dioxide, Zinc Oxide"
WOW Skin Science Hyaluronic Acid Serum,serum,"Hyaluronic Acid, Aloe Extract"
Mamaearth Vitamin C Face Wash,cleanser,"Vitamin C, Turmeric"
Mamaearth Oil-Free Moisturizer,moisturizer,"Apple Cider Vinegar, Betaine"
Mamaearth Aqua Glow Gel Moisturizer,moisturizer,"Himalayan Water, Hyaluronic Acid"
Mamaearth Ubtan Face Wash,cleanser,"Turmeric, Saffron"
Mamaearth Ultra-Light Sunscreen SPF 50,sunscreen,"Titanium Dioxide, Raspberry Seed Oil"
Mamaearth Rice Water Face Wash,cleanser,"Rice Water, Niacinamide"
Mamaearth Niacinamide Serum,serum,"Niacinamide, Ginger Extract"
Conscious Chemist Acne Cleanser,cleanser,"Salicylic Acid, Mandelic Acid"
Conscious Chemist Hydro+ Gel Moisturizer,moisturizer,"Hyaluronic Acid, Squalane"
Conscious Chemist Daily Sunscreen SPF 50,sunscreen,"Zinc Oxide, Titanium Dioxide"
Suganda Centella Green Tea Gel,gel,"Centella Asiatica, Green Tea"
Suganda 5% Niacinamide Serum,serum,"Niacinamide, Panthenol"
Suganda Lactic Acid 5% Serum,serum,"Lactic Acid, Propanediol"
Suganda Hyaluronic Acid Serum,serum,"Hyaluronic Acid, Panthenol"
Earth Rhythm Phyto Clear Sunscreen,sunscreen,"Phyto Extracts, Zinc Oxide"
Earth Rhythm Omega 3 Moisturizer,moisturizer,"Fatty Acids, Ceramides"
Earth Rhythm AHA 8% Solution,toner,"Glycolic Acid, Lactic Acid"
Earth Rhythm Barrier Support Serum,serum,"Ceramides, Cholesterol"
Earth Rhythm Vitamin C 20% Serum,serum,"L-Ascorbic Acid, Ferulic Acid"
Deconstruct Clearing Serum,serum,"Niacinamide, Alpha Arbutin"
Deconstruct Hydrating Serum,serum,"Hyaluronic Acid, Pentylene Glycol"
Deconstruct Exfoliating Serum,serum,"AHA, BHA"
Deconstruct Brightening Cream,moisturizer,"Vitamin C, Niacinamide"
Dermatouch Acne Repair Serum,serum,"Salicylic Acid, Niacinamide"
Dermatouch Oily Skin Cleanser,cleanser,"Zinc PCA, Tea Tree"
Dermatouch Hyaluronic Acid Serum,serum,"Hyaluronic Acid, Glycerin"
Dermatouch Intense Moisturizer,moisturizer,"Ceramides, Shea Butter"
Nivea Soft Light Moisturiser,moisturizer,"Vitamin E, Jojoba Oil"
Nivea Sun SPF 50 Sunscreen,sunscreen,"Homosalate, Octocrylene"
Nivea Refreshing Face Wash,cleanser,"Glycerin, Menthol"
Himalaya Neem Face Wash,cleanser,"Neem, Turmeric"
Himalaya Purifying Neem Scrub,exfoliant,"Neem, Apricot"
Himalaya Moisturizing Aloe Vera Gel,gel,"Aloe Vera, Glycerin"
Himalaya Oil-Free Radiance Gel Cream,moisturizer,"Licorice, White Lily"
Khadi Natural Neem Face Wash,cleanser,"Neem, Aloe Vera"
Khadi Natural Rose Water Toner,toner,"Rose Water"
Khadi Natural Herbal Moisturizer,moisturizer,"Aloe Vera, Almond Oil"
Biotique Bio Morning Nectar Lotion,moisturizer,"Nectar, Honey"
Biotique Bio Papaya Scrub,exfoliant,"Papaya, Walnut Shell"
Biotique Bio Apricot Face Wash,cleanser,"Apricot, Berberry"
Joy Brightening Face Wash,cleanser,"Glycerin, Fruit Extracts"
Joy Vitamin C Gel Moisturizer,moisturizer,"Vitamin C, Hyaluronic Acid"
Joy Sunscreen SPF 40,sunscreen,"Titanium Dioxide"
VLCC Papaya & Honey Face Wash,cleanser,"Papaya, Honey"
VLCC Rose Water Toner,toner,"Rose Water"
VLCC Honey Moisturizer,moisturizer,"Honey, Almond Oil"
Lotus Herbals Safe Sun SPF 50,sunscreen,"Zinc Oxide, Titanium Dioxide"
Lotus Herbals WhiteGlow Gel Creme,moisturizer,"Grape Extract, Mulberry Extract"
Lotus Herbals Face Wash Tea Tree,cleanser,"Tea Tree, Cinnamon"
Khadi Herbal Aloevera Gel,gel,"Aloe Vera"
